CURRENT_PATH,TARGET_PATH,ACTION,REASON
src\app\components\LoginPage.tsx,src/features/public/components/LoginPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\NavigationBar.tsx,src/features/public/components/NavigationBar.tsx,MOVE,Componente público a estructura feature-based
src\app\components\NotificationCenter.tsx,src/features/public/components/NotificationCenter.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ProductCard.tsx,src/features/public/components/ProductCard.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ProductFilters.tsx,src/features/public/components/ProductFilters.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ProductsPage.tsx,src/features/public/components/ProductsPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ProductsPageNew.tsx,src/features/public/components/ProductsPageNew.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ProfilePage.tsx,src/features/public/components/ProfilePage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\QuickActions.tsx,src/features/public/components/QuickActions.tsx,MOVE,Componente público a estructura feature-based
src\app\components\RatingsAndMessagesSection.tsx,src/features/public/components/RatingsAndMessagesSection.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ScrollingImages.tsx,src/features/public/components/ScrollingImages.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ServicesPage.tsx,src/features/public/components/ServicesPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ShoppingCart.tsx,src/features/public/components/ShoppingCart.tsx,MOVE,Componente público a estructura feature-based
src\app\components\SimpleLoginPage.tsx,src/features/public/components/SimpleLoginPage.tsx,MOVE,Componente público a estructura feature-based
src\app\components\SmartRecommendations.tsx,src/features/public/components/SmartRecommendations.tsx,MOVE,Componente público a estructura feature-based
src\app\components\UserDashboard.tsx,src/features/public/components/UserDashboard.tsx,MOVE,Componente público a estructura feature-based
src\app\components\VideoCarousel.tsx,src/features/public/components/VideoCarousel.tsx,MOVE,Componente público a estructura feature-based
src\app\components\WhatsAppButton.tsx,src/features/public/components/WhatsAppButton.tsx,MOVE,Componente público a estructura feature-based
src\app\components\admin\ClientesModule.tsx,src/features/admin/components/ClientesModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\ConfiguracionModule.tsx,src/features/admin/components/ConfiguracionModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\DevolucionesModule.tsx,src/features/admin/components/DevolucionesModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\DomiciliosModule.tsx,src/features/admin/components/DomiciliosModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\HistorialPagosModule.tsx,src/features/admin/components/HistorialPagosModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\InsumosModule.tsx,src/features/admin/components/InsumosModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\InventarioModule.tsx,src/features/admin/components/InventarioModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\NotificationsDropdown.tsx,src/features/admin/components/NotificationsDropdown.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\ProduccionModule.tsx,src/features/admin/components/ProduccionModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\UsuariosModule.tsx,src/features/admin/components/UsuariosModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\admin\VentasModule.tsx,src/features/admin/components/VentasModule.tsx,MOVE,Módulo admin a estructura feature-based
src\app\components\asesor\ComisionesModule.tsx,src/features/asesor/components/ComisionesModule.tsx,MOVE,Módulo asesor a estructura feature-based
src\app\components\asesor\MisClientesModule.tsx,src/features/asesor/components/MisClientesModule.tsx,MOVE,Módulo asesor a estructura feature-based
src\app\components\cliente\DashboardClientes.tsx,src/features/public/components/DashboardClientes.tsx,MOVE,Componente público a estructura feature-based
src\app\components\cliente-role\CatalogoCliente.tsx,src/features/cliente/components/CatalogoCliente.tsx,MOVE,Módulo cliente a estructura feature-based
src\app\components\cliente-role\DireccionesCliente.tsx,src/features/cliente/components/DireccionesCliente.tsx,MOVE,Módulo cliente a estructura feature-based
src\app\components\cliente-role\MetodosPagoCliente.tsx,src/features/cliente/components/MetodosPagoCliente.tsx,MOVE,Módulo cliente a estructura feature-based
src\app\components\cliente-role\MiPerfilCliente.tsx,src/features/cliente/components/MiPerfilCliente.tsx,MOVE,Módulo cliente a estructura feature-based
src\app\components\cliente-role\MisPedidosCliente.tsx,src/features/cliente/components/MisPedidosCliente.tsx,MOVE,Módulo cliente a estructura feature-based
src\app\components\cliente-role\ResumenCliente.tsx,src/features/cliente/components/ResumenCliente.tsx,MOVE,Módulo cliente a estructura feature-based
src\app\components\domiciliario\EntregasModule.tsx,src/features/domiciliario/components/EntregasModule.tsx,MOVE,Módulo domiciliario a estructura feature-based
src\app\components\domiciliario\RutasModule.tsx,src/features/domiciliario/components/RutasModule.tsx,MOVE,Módulo domiciliario a estructura feature-based
src\app\components\figma\ImageWithFallback.tsx,src\presentation\components\common\ImageWithFallback.tsx,DELETE_CANDIDATE,Duplicado de src\presentation\components\common\ImageWithFallback.tsx
src\app\components\ui\accordion.tsx,src/features/public/components/accordion.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\alert-dialog.tsx,src/features/public/components/alert-dialog.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\alert.tsx,src/features/public/components/alert.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\aspect-ratio.tsx,src/features/public/components/aspect-ratio.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\avatar.tsx,src/features/public/components/avatar.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\badge.tsx,src/features/public/components/badge.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\breadcrumb.tsx,src/features/public/components/breadcrumb.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\button.tsx,src/features/public/components/button.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\calendar.tsx,src/features/public/components/calendar.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\card.tsx,src/features/public/components/card.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\carousel.tsx,src/features/public/components/carousel.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\chart.tsx,src/features/public/components/chart.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\ChartContainer.tsx,src/features/public/components/ChartContainer.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\ChartWrapper.tsx,src/features/public/components/ChartWrapper.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\checkbox.tsx,src/features/public/components/checkbox.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\collapsible.tsx,src/features/public/components/collapsible.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\command.tsx,src/features/public/components/command.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\context-menu.tsx,src/features/public/components/context-menu.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\dialog.tsx,src/features/public/components/dialog.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\drawer.tsx,src/features/public/components/drawer.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\dropdown-menu.tsx,src/features/public/components/dropdown-menu.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\export-button.tsx,src/features/public/components/export-button.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\form.tsx,src/features/public/components/form.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\hover-card.tsx,src/features/public/components/hover-card.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\input-otp.tsx,src/features/public/components/input-otp.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\input.tsx,src/features/public/components/input.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\label.tsx,src/features/public/components/label.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\menubar.tsx,src/features/public/components/menubar.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\navigation-menu.tsx,src/features/public/components/navigation-menu.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\pagination.tsx,src/features/public/components/pagination.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\popover.tsx,src/features/public/components/popover.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\progress.tsx,src/features/public/components/progress.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\radio-group.tsx,src/features/public/components/radio-group.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\resizable.tsx,src/features/public/components/resizable.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\responsive-table.tsx,src/features/public/components/responsive-table.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\scroll-area.tsx,src/features/public/components/scroll-area.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\select.tsx,src/features/public/components/select.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\separator.tsx,src/features/public/components/separator.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\sheet.tsx,src/features/public/components/sheet.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\sidebar.tsx,src/features/public/components/sidebar.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\skeleton.tsx,src/features/public/components/skeleton.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\slider.tsx,src/features/public/components/slider.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\sonner.tsx,src/features/public/components/sonner.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\switch.tsx,src/features/public/components/switch.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\table-pagination.tsx,src/features/public/components/table-pagination.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\table.tsx,src/features/public/components/table.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\tabs.tsx,src/features/public/components/tabs.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\textarea.tsx,src/features/public/components/textarea.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\toggle-group.tsx,src/features/public/components/toggle-group.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\toggle.tsx,src/features/public/components/toggle.tsx,MOVE,Componente público a estructura feature-based
src\app\components\ui\tooltip.tsx,src/features/public/components/tooltip.tsx,MOVE,Componente público a estructura feature-based
src\app\contexts\ThemeContext.tsx,src\presentation\contexts\ThemeContext.tsx,DELETE_CANDIDATE,Duplicado de src\presentation\contexts\ThemeContext.tsx
src/app/App.tsx,audit/archive/App.tsx,DELETE_CANDIDATE,"Entry point alternativo, no producción"
src/app/MODO_EXPORTACION.tsx,audit/archive/MODO_EXPORTACION.tsx,DELETE_CANDIDATE,"Modo Figma, no producción"
src/domain/,src/domain/,KEEP,Mover dentro de src/ (ya está)
src/application/,src/application/,KEEP,Mover dentro de src/ (ya está)
src/infrastructure/,src/infrastructure/,KEEP,Mover dentro de src/ (ya está)
src/config/firebase.ts,src/infrastructure/config/firebase.ts,MOVE,Configuración a infrastructure
src/hooks/,src/shared/hooks/,MOVE,Hooks globales a shared/hooks
